"","idplot","n_trees_ifn2","ws_ifn2","wb27_ifn2","wb2_ifn2","wr_ifn2","n_trees_ifn3","ws_ifn3","wb7_ifn3","wb27_ifn3","wb2_ifn3","wr_ifn3","ntrees_d","ws_d","wb27_d","wb2_d","wr_d"
"112","37_1647",7,959.235715125,164.818715225,88.2462,425.6824,7,1204.353441,NA,203.1429478,98.0973,506.059125,0,245.117725875,38.324232575,9.8511,80.376725
"113","44_0203",4,126.928998,28.4073784,27.8762,81.996915,5,181.916184375,NA,38.000116875,38.327,116.6347325,1,54.987186375,9.592738475,10.4508,34.6378175
"114","45_1047",2,79.518445875,11.802228575,20.9325,65.037115,2,163.870677,NA,23.5266866,27.008,106.50211,0,84.352231125,11.724458025,6.07550000000001,41.464995
"115","45_1370",1,25.0595235,4.2209413,8.6897,22.8832175,2,68.07800025,NA,10.49368645,19.7182,57.789875,1,43.01847675,6.27274515,11.0285,34.9066575
"116","48_0234",3,166.1232375,22.9981775,36.1407,125.228675,6,662.08505535,NA,114.41541003,69.592,317.66878,3,495.96181785,91.41723253,33.4513,192.440105
"117","49_0076",7,2173.00110975,310.88036655,153.868,982.1951425,9,2486.327179275,NA,395.063398295,163.1491,997.048195,2,313.326069525,84.1830317449999,9.28110000000001,14.8530525
"118","49_0117",5,64.76473575,21.37513735,23.7943,53.1455925,8,169.225555275,NA,52.768934095,37.452,104.1522625,3,104.460819525,31.393796745,13.6577,51.00667
"119","49_0167",3,587.6016975,92.1260855,50.1586,262.660255,4,1126.220481,NA,178.5102798,76.4562,454.200175,1,538.6187835,86.3841943,26.2976,191.53992
"120","49_0220",3,306.617286375,46.637273475,38.4955,169.234065,3,614.9788749,NA,91.14399542,53.8765,292.6141075,0,308.361588525,44.506721945,15.381,123.3800425
"121","49_0221",20,1025.065918125,215.182162625,132.6631,496.006225,22,1576.715674725,NA,246.785449905,227.4703,799.3181625,2,551.6497566,31.60328728,94.8072,303.3119375
"122","49_0449",4,195.52638825,19.11433185,53.1189,184.3466625,7,401.712179625,NA,72.400704325,62.2938,235.5778425,3,206.185791375,53.286372475,9.1749,51.23118
